Complete Secondary School List | Property Review SG

| Secondary School | Chinese Name | Nature | Sch Type | PSLE 2020 (Aff.)Integ. | PSLE 2020 (Aff.)Exp. | PSLE 2020 (Aff.)N(Acad) | PSLE 2020 (Aff.)N(Tech) | PSLE 2020 (Non-Aff.)Integ. | PSLE 2020 (Non-Aff.)Exp. | PSLE 2020 (Non-Aff.)N(Acad) | PSLE 2020 (Non-Aff.)N(Tech) | IntegratedProgramme | Address |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| Westwood Secondary School | 维林中学 | Co-Ed | Gov Sch | 11 Jurong West Street 25, S648350 |
| Whitley Secondary School | 惠厉中学 | Co-Ed | Gov Sch | 30 Bishan Street 24, S579747 |
| Woodgrove Secondary School | 林景中学 | Co-Ed | Gov Sch | 3 Woodlands Avenue 6, S738990 |
| Woodlands Ring Secondary School | 辅廉中学 | Co-Ed | Gov Sch | 10 Woodlands Ring Road, S738239 |
| Woodlands Secondary School | 辅仁中学 | Co-Ed | Gov Sch | 11 Marsiling Road, S739111 |
| Xinmin Secondary School | 新民中学 | Co-Ed | Gov Sch / Auto. | 11 Hougang Avenue 8, S538789 |
| Yio Chu Kang Secondary School | 永康中学 | Co-Ed | Gov Sch | 3063 Ang Mo Kio Avenue 5, S569868 |
| Yishun Secondary School | 义顺中学 | Co-Ed | Gov Sch | 4 Yishun Street 71, S768516 |
| Yishun Town Secondary School | 毅道中学 | Co-Ed | Gov Sch / Auto. | 6 Yishun Street 21, S768610 |
| Yuan Ching Secondary School | 耘青中学 | Co-Ed | Gov Sch | 103 Yuan Ching Road, S618654 |
| Yuhua Secondary School | 裕华中学 | Co-Ed | Gov Sch | 35 Jurong West Street 41, S649406 |
| Yusof Ishak Secondary School | 尤索夫依萨中学 | Co-Ed | Gov Sch | 8 Sumang Walk, S828676 |
| Yuying Secondary School | 育英中学 | Co-Ed | Gov-Aided Sch | 47 Hougang Avenue 1, S538884 |
| Zhenghua Secondary School | 正华中学 | Co-Ed | Gov Sch | 91 Senja Road, S677741 |
| Zhonghua Secondary School | 中华中学 | Co-Ed | Gov Sch / Auto. | 13 Serangoon Avenue 3, S556123 |
